iter	Logloss
285	0.1345874501
286	0.1345144545
287	0.1344208543
288	0.13436256
289	0.1342708963
290	0.1342032346
291	0.1341860622
292	0.1341129843
293	0.1340327511
294	0.1339608726
295	0.1339320263
296	0.1338768216
297	0.1337502431
298	0.1336735126
299	0.1335873783
300	0.1335354127
301	0.1334858522
302	0.1334086837
303	0.1333607206
304	0.133297639
305	0.1332180686
306	0.1331735749
307	0.1331154074
308	0.133045626
309	0.1329564361
310	0.1328236457
311	0.1327725274
312	0.1327131408
313	0.1326316122
314	0.1325565437
315	0.1325098879
316	0.1324477376
317	0.1323559652
318	0.1322760868
319	0.1322124744
320	0.1321897031
321	0.1321250014
322	0.1320568082
323	0.1319268369
324	0.1318566735
325	0.1317946027
326	0.1317165832
327	0.131566035
328	0.1315123246
329	0.131436829
330	0.1313665834
331	0.1312984075
332	0.1312379489
333	0.1311821121
334	0.1311456922
335	0.131049137
336	0.1309801725
337	0.1309209794
338	0.1308651587
339	0.1307416626
340	0.1306665714
341	0.1306027268
342	0.130516024
343	0.1304562588
344	0.130385488
345	0.1303280289
346	0.1302760302
347	0.1302117639
348	0.1301467403
349	0.1300953813
350	0.1299863392
351	0.1299055394
352	0.1298460015
353	0.129805859
354	0.1297514426
355	0.1297081563
356	0.1296722511
357	0.1296243087
358	0.1295808044
359	0.1295123678
360	0.1294358199
361	0.1293955188
362	0.1292837615
363	0.1292351053
364	0.1291753148
365	0.1291256726
366	0.1290884526
367	0.1290196059
368	0.128878003
369	0.1288159534
370	0.1287326629
371	0.1286985209
372	0.1286199123
373	0.1285650015
374	0.1285234744
375	0.1284367156
376	0.1283994286
377	0.1283302187
378	0.1282647125
379	0.1282089313
380	0.1281548845
381	0.1280447773
382	0.1279804166
383	0.1279243463
384	0.1278546592
385	0.1277969049
386	0.1277652685
387	0.1277102318
388	0.1276709162
389	0.1276327247
390	0.1276022927
391	0.1275327888
392	0.1274844182
393	0.1274033544
394	0.1273690024
395	0.127327479
396	0.1272621682
397	0.1272234332
398	0.1271423266
399	0.1270875084
400	0.127041368
401	0.1269556206
402	0.1268685694
403	0.12684563
404	0.1267897338
405	0.1267424235
406	0.1266925333
407	0.1266124028
408	0.1265778691
409	0.1265252948
410	0.1264702704
411	0.1264100524
412	0.12635763
413	0.1262916723
414	0.1262156217
415	0.1261493057
416	0.1261084927
417	0.1260462999
418	0.1259523643
419	0.1258795762
420	0.1258299977
421	0.1257723425
422	0.1257462547
423	0.1256874069
424	0.125636798
425	0.1255595646
426	0.1255033912
427	0.1254047767
428	0.1253590313
429	0.1252925742
430	0.1252539228
431	0.1251577015
432	0.1250824924
433	0.1250534612
434	0.1249840106
435	0.1249473955
436	0.1249024083
437	0.1248352761
438	0.1247683741
439	0.1247178939
440	0.1246950272
441	0.1246398875
442	0.1246001499
443	0.1245449531
444	0.1244604238
445	0.1243998283
446	0.1243440737
447	0.1242888431
448	0.1242476432
449	0.1241764171
450	0.1241454398
451	0.1241025479
452	0.1240291874
453	0.1239877138
454	0.1239097893
455	0.1238990682
456	0.1238323751
457	0.1237356418
458	0.1236715079
459	0.1236180981
460	0.123598544
461	0.1235363563
462	0.123479934
463	0.1234048203
464	0.1233636035
465	0.1233167964
466	0.1232729782
467	0.1232346515
468	0.1231596529
469	0.1230890424
470	0.1230459799
471	0.1229924057
472	0.1229160258
473	0.1228817632
474	0.1228120702
475	0.1227418009
476	0.1226851814
477	0.1226210976
478	0.1225582293
479	0.1225163244
480	0.1224703622
481	0.1224271425
482	0.1224023878
483	0.1223432688
484	0.1222986014
485	0.1222500011
486	0.1221901143
487	0.1221281898
488	0.1220809594
489	0.1220217534
490	0.1219541373
491	0.1218130847
492	0.1217807667
493	0.1217386346
494	0.1216860858
495	0.1216406228
496	0.1215957084
497	0.1215375517
498	0.1214737347
499	0.1214147412
500	0.121390544
501	0.1213282314
502	0.121292347
503	0.1212180979
504	0.1211913368
505	0.121107139
506	0.1210716926
507	0.1210132219
508	0.1209902984
509	0.1209713312
510	0.1209495214
511	0.1208797277
512	0.1208321073
513	0.1207735696
514	0.1207299276
515	0.1206899668
516	0.12067299
517	0.1206173575
518	0.1205202697
519	0.1204470059
520	0.1204207431
521	0.120364819
522	0.1203377935
523	0.1202584722
524	0.1202224405
525	0.1201571592
526	0.1201173966
527	0.1200640719
528	0.1200092336
529	0.119982987
530	0.119939564
531	0.1198973147
532	0.1198402003
533	0.1197873145
534	0.1197375992
535	0.1196846051
536	0.1196545402
537	0.1196021437
538	0.1195503761
539	0.1194778524
540	0.1194394987
541	0.1194104478
542	0.1193761563
543	0.1193293292
544	0.1192696978
545	0.1192084882
546	0.1191442648
547	0.1191316223
548	0.1190999548
549	0.1190733607
550	0.1189921384
551	0.1189261416
552	0.1188523395
553	0.1187652129
554	0.1187122211
555	0.1186750492
556	0.1186411317
557	0.1185882005
558	0.1185376058
559	0.1184703765
560	0.1184271231
561	0.1184150305
562	0.1183669788
563	0.118334748
564	0.1182817163
565	0.118194524
566	0.118138466
567	0.1180598825
568	0.1180336713
569	0.1179860709
570	0.1179127117
571	0.1178415609
572	0.117785126
573	0.1177437996
574	0.1176763071
575	0.117607791
576	0.1175888947
577	0.1175674761
578	0.1175561534
579	0.117508706
580	0.11745639
581	0.1174258618
582	0.1173854386
583	0.117323909
584	0.1172641317
585	0.1172542042
586	0.1171972261
587	0.1171129255
588	0.1170769974
589	0.1170165256
590	0.1169766479
591	0.1169115012
592	0.1168523609
593	0.1167943425
594	0.1167375973
595	0.1166960517
596	0.1166607356
597	0.1166196632
598	0.1166132652
599	0.1165342648
600	0.1164811343
601	0.116437229
602	0.1163669904
603	0.1162961785
604	0.1162486725
605	0.1161875352
606	0.1161617465
607	0.1161159739
608	0.1161117966
609	0.1160727921
610	0.1160084418
611	0.1159601075
612	0.1159252533
613	0.1158768632
614	0.1158009495
615	0.1157276981
616	0.1156507163
617	0.1155983109
618	0.1155786894
619	0.1155237519
620	0.115480969
621	0.1154310742
622	0.1153785007
623	0.1153143136
624	0.1152426483
625	0.1151708224
626	0.1151346309
627	0.1150688557
628	0.1150197494
629	0.1149662282
630	0.1149273037
631	0.1148921553
632	0.1148532924
633	0.114810095
634	0.1147481883
635	0.114705996
636	0.1146766795
637	0.1146414858
638	0.1146013031
639	0.1145605962
640	0.1145132775
641	0.1145084684
642	0.1144641674
643	0.1143934479
644	0.1143267756
645	0.1143061303
646	0.1142713719
647	0.1142631682
648	0.1142407679
649	0.1142176982
650	0.1141847542
651	0.1141593436
652	0.1141523891
653	0.1141227705
654	0.1140830496
655	0.1140178359
656	0.1139791496
657	0.113902674
658	0.1138386035
659	0.1138056383
660	0.1137457696
661	0.1137275388
662	0.1136800679
663	0.1136569975
664	0.1136197494
665	0.1135914324
666	0.1135259592
667	0.1134664956
668	0.1134126235
669	0.1133965648
670	0.113341741
671	0.1133199449
672	0.1132918087
673	0.1132532495
674	0.1132160394
675	0.113167999
676	0.1130976624
677	0.1130924418
678	0.1130590859
679	0.1130106899
680	0.1129259587
681	0.112874638
682	0.1128325415
683	0.1127859106
684	0.112774527
685	0.1127284463
686	0.1127101497
687	0.1126502047
688	0.1125875713
689	0.1125860844
690	0.1125535719
691	0.1125079763
692	0.1124613279
693	0.1124232141
694	0.1123617217
695	0.1123214656
696	0.1122723227
697	0.1122150476
698	0.1121603428
699	0.1120965807
700	0.1120370975
701	0.1119829782
702	0.111943733
703	0.1119176309
704	0.1118531396
705	0.1118177561
706	0.1117729784
707	0.1117248351
708	0.1116530202
709	0.1115880825
710	0.1115295489
711	0.1114565921
712	0.1114298394
713	0.1113891435
714	0.1113373483
715	0.1112777333
716	0.1112273835
717	0.1111835705
718	0.1111550754
719	0.1111170161
720	0.1110782133
721	0.1110700689
722	0.1110263058
723	0.1109598881
724	0.1109246401
725	0.1109047489
726	0.1108870059
727	0.1108285283
728	0.1107825034
729	0.1107507852
730	0.1107196243
731	0.1106892861
732	0.1106585467
733	0.1106347297
734	0.1105983996
735	0.1105678125
736	0.1105322464
737	0.1104769463
738	0.1104487193
739	0.1104082868
740	0.1103448484
741	0.1103100988
742	0.110264003
743	0.1102157545
744	0.110183207
745	0.1101464307
746	0.1100962852
747	0.1100377445
748	0.1099741399
749	0.1099351006
750	0.1098717939
751	0.1098356316
752	0.1097887573
753	0.1097721881
754	0.1097126002
755	0.1096731959
756	0.1096178763
757	0.1095514499
758	0.1095229696
759	0.109469024
760	0.1094055753
761	0.1093656228
762	0.1093364723
763	0.1093064951
764	0.1092702276
765	0.1091887129
766	0.109152454
767	0.1091299792
768	0.1090792594
769	0.1090587923
770	0.1090375688
771	0.1089939718
772	0.1089696748
773	0.1089205046
774	0.1088860045
775	0.1088289548
776	0.1088079653
777	0.1087833736
778	0.1087489035
779	0.1087046623
780	0.1086576558
781	0.1086155097
782	0.10857915
783	0.1085129419
784	0.108458183
785	0.108429674
786	0.1083743589
787	0.1083197219
788	0.1082754109
789	0.1082506249
790	0.1081942279
791	0.1081565777
792	0.1081205265
793	0.1080866612
794	0.1080656319
795	0.1080260072
796	0.1079805925
797	0.1079453626
798	0.107916528
799	0.1078713622
800	0.1078122289
801	0.1077542922
802	0.1077062332
803	0.1076526139
804	0.1076212236
805	0.1075741058
806	0.1075610696
807	0.107534827
808	0.1075132216
809	0.1074982265
810	0.1074619262
811	0.1074551121
812	0.1074083387
813	0.1073637041
814	0.1073267509
815	0.1072784851
816	0.1072289384
817	0.1072170197
818	0.1071828902
819	0.1071455281
820	0.1071088297
821	0.1070855106
822	0.1070424276
823	0.1069829341
824	0.1069731491
825	0.1069441829
826	0.1069331611
827	0.106875453
828	0.1068301594
829	0.1067860825
830	0.1067471558
831	0.1067179159
832	0.1066669565
833	0.1066178925
834	0.1065897786
835	0.106559441
836	0.1065461488
837	0.1065180884
838	0.1064510635
839	0.1064128783
840	0.1063532464
841	0.1063005138
842	0.1062703856
843	0.1062403852
844	0.1062067327
845	0.1061761711
846	0.1061398337
847	0.1061254926
848	0.1060733146
849	0.1060249327
850	0.105973181
851	0.1059333655
852	0.105924188
853	0.1058764984
854	0.1058408541
855	0.1058029339
856	0.1057471153
857	0.1057026736
858	0.1056422122
859	0.1056106911
860	0.1055893211
861	0.1055612493
862	0.1055408437
863	0.1055051986
864	0.1054645565
865	0.1054441519
866	0.1054035272
867	0.1053743945
868	0.1053445615
869	0.1053078728
870	0.105254161
871	0.1052176455
872	0.1051586406
873	0.1051291226
874	0.1050919237
875	0.1050524542
876	0.1050394115
877	0.1050066453
878	0.1049698607
879	0.1049315431
880	0.1048957378
881	0.1048442581
882	0.1047997231
883	0.1047563617
884	0.1047366496
885	0.1047307449
886	0.1046935718
887	0.1046675919
888	0.1046231462
889	0.1045760579
890	0.1045547383
891	0.1045172808
892	0.1044698828
893	0.1044171998
894	0.1043985031
895	0.1043504587
896	0.1043065017
897	0.1042881728
898	0.1042358407
899	0.1042076549
900	0.1041749849
901	0.1041545665
902	0.1041218513
903	0.1040700101
904	0.1040285943
905	0.103969567
906	0.1039424179
907	0.1039223751
908	0.1038781525
909	0.1038466728
910	0.1037954477
911	0.1037607226
912	0.1037143004
913	0.1036856775
914	0.1036412597
915	0.1035998183
916	0.1035676009
917	0.1035568689
918	0.1035171647
919	0.1034951658
920	0.1034654672
921	0.103444465
922	0.1034007981
923	0.1033791984
924	0.1033497029
925	0.1033105446
926	0.1032725934
927	0.1032569736
928	0.103219236
929	0.1031711202
930	0.1031216062
931	0.1030965359
932	0.103045932
933	0.103008798
934	0.1029614113
935	0.1029098521
936	0.1028816487
937	0.1028611791
938	0.1028233723
939	0.102789578
940	0.1027735303
941	0.1027379757
942	0.1026914223
943	0.1026582858
944	0.1026261158
945	0.1025844973
946	0.1025374049
947	0.1025027406
948	0.1024705227
949	0.1024629253
950	0.1024409942
951	0.1024025149
952	0.1023743237
953	0.102339255
954	0.1022895663
955	0.1022630009
956	0.1022165792
957	0.1021484962
958	0.1020957736
959	0.1020615858
960	0.102020437
961	0.1019834753
962	0.1019805667
963	0.1019486698
964	0.1019045808
965	0.1018512065
966	0.1018109986
967	0.1017877504
968	0.1017606614
969	0.1017067354
970	0.1016844184
971	0.101654384
972	0.1016083182
973	0.1015753998
974	0.1014837336
975	0.1014513153
976	0.101377303
977	0.1013537143
978	0.1013098521
979	0.1012925524
980	0.1012731512
981	0.101247625
982	0.1011999945
983	0.1011675797
984	0.1011247358
985	0.1010916554
986	0.1010569593
987	0.1010043577
988	0.1009516674
989	0.1009179965
990	0.1008807965
991	0.1008436641
992	0.100786557
993	0.1007563866
994	0.1007083058
995	0.1006940205
996	0.100636923
997	0.1006043259
998	0.1005396819
999	0.1005280811
